智谱清言 OpenClaw|zhipu_qingyan_openclaw_strict
智谱清言 Clawdbot|zhipu_qingyan_clawdbot
智谱清言 MoltBot|zhipu_qingyan_moltbot
智谱清言 MaxClaw|zhipu_qingyan_maxclaw
智谱开放平台 OpenClaw|zhipu_platform_openclaw
智谱 开放平台 OpenClaw|zhipu_platform2_openclaw
ChatGLM OpenClaw|zhipu_chatglm_openclaw
GLM-4 OpenClaw|zhipu_glm4_openclaw
Z.ai OpenClaw|zhipu_zai_openclaw_strict
智谱AI OpenClaw|zhipu_zhipuai_openclaw_strict

Kimi智能助手 OpenClaw|moonshot_kimiassistant_openclaw
Kimi智能助手 MoltBot|moonshot_kimiassistant_moltbot
Kimi智能助手 MaxClaw|moonshot_kimiassistant_maxclaw
Kimi开放平台 OpenClaw|moonshot_kimiplatform_openclaw
Kimi 开放平台 OpenClaw|moonshot_platform2_openclaw
月之暗面 OpenClaw|moonshot_yuezhi_openclaw_strict
月之暗面 MoltBot|moonshot_yuezhi_moltbot
Moonshot AI OpenClaw|moonshot_ai_openclaw_strict
Moonshot OpenClaw|moonshot_brand_openclaw_strict

MiniMax 稀宇科技 OpenClaw|minimax_xiyu_openclaw_strict
MiniMax 稀宇科技 MaxClaw|minimax_xiyu_maxclaw
